Sr_no,Tweets,Retweet_Count
158, java: Free Princeon Course - \nEssenials for serious programmers au algorihms and #daa srucures and #Java\n\nhps://.co/zFzSi7\xc3\xa2\xe2\x82\xac\xc2\xa6,159
159, java: ild sophisicaed algorihms ha are fundamenal o #deeplearning and #AI wih #Java\n\nhps://.co/Pe5CKX1kLM? hps://.co/0Z\xc3\xa2\xe2\x82\xac\xc2\xa6,111
160, java: FREE - 5 Courses in \n#Java Programming and Sofware Engineering Fundamenals Specializaion - Duke Universiy \n\nhps://.co/fVoF\xc3\xa2\xe2\x82\xac\xc2\xa6,76
161, CNNnews18: he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/l58jx5,4
162,ha records should you  keeping for your siness? Check HMRCsiness video ou! ? #okkeeping #Ousourcing\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/nDVHeRg,1
163,he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/cHGZM0y,0
164,he faciliy will provide end-o-end echnology consuling and sysems inegraion services.\nhps://.co/l58jx5,4
165, khjjg: i have no sense of shadowing  i finally have my own aa and cooky lloon yall ?? hps://.co/Lx0YPmuY,280
166, eejayspencer: his he rawes gender reveal I ever seen. hps://.co/S1NSjYSCHD,27220
167,aa_Crucie Hold your seas coz he ulimae le of wis au o ge saed #CCQ17 hps://.co/OAdKU41z,0
168, sevenandweny: is en a while since i did pixel a  i love hem ok ???\n#21 #sfana #samy #mang #cooky #rj #shooky #a\xc3\xa2\xe2\x82\xac\xc2\xa6,579
169,aaSky Is en over 20hrs and sill no received any call. No up o aas sandard. Paheic,0
170, dama_uk: o  in wih a chance of winning his gorgeous crew neck sweaer simply follow &amp; ! Ends 13/10 12pm &amp;Cs: hps://.co/wlV\xc3\xa2\xe2\x82\xac\xc2\xa6,632
171,nzurilife You can ceainly read along! We will  conducing a live wier cha during he ok clumeeing so\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/cZHFlRr8,0
